Time,FPS
1,0.87
2,265.06
3,297.99
4,314.98
5,315.06
6,326.39
7,319.62
8,326.39
9,328.81
10,317.61
11,327.33
12,309.66
13,311.92
14,328.43
15,330.56
16,333.58
17,303.50
18,324.90
19,337.90
20,335.21
21,317.75
22,328.62
23,343.31
24,348.22
25,343.35
26,339.38
27,313.86
28,299.04
29,342.82
30,341.76
31,346.52
32,330.86
33,336.05
34,339.04
35,346.56
36,347.08
37,340.34
38,328.45
39,329.30
40,322.68
41,342.78
42,344.49
43,352.24
44,350.58
45,353.34
46,351.44
47,349.03
48,344.17
49,341.74
50,289.28
51,346.75
52,320.23
53,342.14
54,343.66
55,343.86
56,342.29
57,348.66
58,343.37
59,351.56
60,340.51
61,351.50
62,346.03
63,325.23
64,348.25
65,350.73
66,351.53
67,347.43
68,344.56
69,342.94
70,339.71
71,340.87
72,343.47
73,344.33
74,350.74
75,338.82
76,344.19
77,337.96
78,344.29
79,348.90
80,340.05
81,346.60
82,349.28
83,345.06
84,342.86
85,347.47
86,349.17
87,349.15
88,340.99
89,344.74
90,337.09
91,336.29
92,345.22
93,345.78
94,337.79
95,346.36
96,334.88
97,314.65
98,325.80
99,336.62
100,338.51
101,335.10
102,350.52
103,346.98
104,349.43
105,348.14
106,347.61
107,348.19
108,347.56
109,347.52
110,342.42
111,351.98
112,348.33
113,346.17
114,346.27
115,348.26
116,343.64
117,339.14
118,343.34
119,349.93
120,348.64
121,350.31
122,346.51
123,349.79
124,341.35
125,344.04
126,349.00
127,339.76
128,342.94
129,347.77
130,347.88
131,351.07
132,347.37
133,352.23
134,349.97
135,349.98
136,340.60
137,339.99
138,319.61
139,319.78
140,295.99
141,301.31
142,328.88
143,352.52
144,351.37
145,339.46
146,336.29
147,315.77
